,loss
0,"tf.Tensor(18.408907, shape=(), dtype=float32)"
1,"tf.Tensor(19.81484, shape=(), dtype=float32)"
2,"tf.Tensor(18.696306, shape=(), dtype=float32)"
3,"tf.Tensor(18.01167, shape=(), dtype=float32)"
4,"tf.Tensor(17.98767, shape=(), dtype=float32)"
5,"tf.Tensor(18.212687, shape=(), dtype=float32)"
6,"tf.Tensor(17.299173, shape=(), dtype=float32)"
7,"tf.Tensor(16.895927, shape=(), dtype=float32)"
8,"tf.Tensor(16.45898, shape=(), dtype=float32)"
9,"tf.Tensor(16.023283, shape=(), dtype=float32)"
10,"tf.Tensor(16.604483, shape=(), dtype=float32)"
11,"tf.Tensor(16.159477, shape=(), dtype=float32)"
12,"tf.Tensor(16.715986, shape=(), dtype=float32)"
13,"tf.Tensor(15.687312, shape=(), dtype=float32)"
14,"tf.Tensor(17.176075, shape=(), dtype=float32)"
15,"tf.Tensor(15.236065, shape=(), dtype=float32)"
16,"tf.Tensor(16.292953, shape=(), dtype=float32)"
17,"tf.Tensor(17.039358, shape=(), dtype=float32)"
18,"tf.Tensor(15.511389, shape=(), dtype=float32)"
19,"tf.Tensor(16.356682, shape=(), dtype=float32)"
20,"tf.Tensor(16.360147, shape=(), dtype=float32)"
21,"tf.Tensor(15.430963, shape=(), dtype=float32)"
22,"tf.Tensor(14.7899, shape=(), dtype=float32)"
23,"tf.Tensor(16.22908, shape=(), dtype=float32)"
24,"tf.Tensor(15.716129, shape=(), dtype=float32)"
25,"tf.Tensor(15.564476, shape=(), dtype=float32)"
26,"tf.Tensor(16.18991, shape=(), dtype=float32)"
27,"tf.Tensor(15.557461, shape=(), dtype=float32)"
28,"tf.Tensor(15.427956, shape=(), dtype=float32)"
29,"tf.Tensor(15.095171, shape=(), dtype=float32)"
30,"tf.Tensor(15.874863, shape=(), dtype=float32)"
31,"tf.Tensor(16.483784, shape=(), dtype=float32)"
32,"tf.Tensor(15.800898, shape=(), dtype=float32)"
33,"tf.Tensor(16.864975, shape=(), dtype=float32)"
34,"tf.Tensor(15.901976, shape=(), dtype=float32)"
35,"tf.Tensor(16.218912, shape=(), dtype=float32)"
36,"tf.Tensor(16.771914, shape=(), dtype=float32)"
37,"tf.Tensor(15.33444, shape=(), dtype=float32)"
38,"tf.Tensor(16.046934, shape=(), dtype=float32)"
